name,time,value
TemperaturaZewnetrzna,1601154900941000000,13.1
TemperaturaZewnetrzna,1601155200948000000,13.1
TemperaturaZewnetrzna,1601155500954000000,13.1
TemperaturaZewnetrzna,1601155537263000000,13
TemperaturaZewnetrzna,1601155800976000000,13
TemperaturaZewnetrzna,1601156100983000000,13
TemperaturaZewnetrzna,1601156400990000000,13
TemperaturaZewnetrzna,1601156440271000000,12.9
TemperaturaZewnetrzna,1601156700995000000,12.9
TemperaturaZewnetrzna,1601157001003000000,12.9
TemperaturaZewnetrzna,1601157300014000000,12.9
TemperaturaZewnetrzna,1601157343278000000,12.8
TemperaturaZewnetrzna,1601157600027000000,12.8
TemperaturaZewnetrzna,1601157900040000000,12.8
TemperaturaZewnetrzna,1601158200052000000,12.8
TemperaturaZewnetrzna,1601158500065000000,12.8
TemperaturaZewnetrzna,1601158800076000000,12.8
TemperaturaZewnetrzna,1601159100090000000,12.8
TemperaturaZewnetrzna,1601159149326000000,12.7
TemperaturaZewnetrzna,1601159400101000000,12.7
TemperaturaZewnetrzna,1601159700112000000,12.7
TemperaturaZewnetrzna,1601160000125000000,12.7
TemperaturaZewnetrzna,1601160052318000000,12.5
TemperaturaZewnetrzna,1601160300138000000,12.5
TemperaturaZewnetrzna,1601160600151000000,12.5
TemperaturaZewnetrzna,1601160900173000000,12.5
TemperaturaZewnetrzna,1601160955327000000,12.4
TemperaturaZewnetrzna,1601161200185000000,12.4
TemperaturaZewnetrzna,1601161500198000000,12.4
TemperaturaZewnetrzna,1601161800210000000,12.4
TemperaturaZewnetrzna,1601161858327000000,12.3
TemperaturaZewnetrzna,1601162100221000000,12.3
TemperaturaZewnetrzna,1601162400233000000,12.3
TemperaturaZewnetrzna,1601162700246000000,12.3
TemperaturaZewnetrzna,1601162761344000000,12.1
TemperaturaZewnetrzna,1601163000259000000,12.1
TemperaturaZewnetrzna,1601163300270000000,12.1
TemperaturaZewnetrzna,1601163600286000000,12.1
TemperaturaZewnetrzna,1601163664345000000,11.9
TemperaturaZewnetrzna,1601163900297000000,11.9
TemperaturaZewnetrzna,1601164567357000000,11.8
TemperaturaZewnetrzna,1601164800232000000,11.8
TemperaturaZewnetrzna,1601165470366000000,11.6
TemperaturaZewnetrzna,1601165700247000000,11.6
TemperaturaZewnetrzna,1601166600265000000,11.6
TemperaturaZewnetrzna,1601167276376000000,11.5
TemperaturaZewnetrzna,1601167500291000000,11.5
TemperaturaZewnetrzna,1601168400308000000,11.5
TemperaturaZewnetrzna,1601169082403000000,11.4
TemperaturaZewnetrzna,1601169300331000000,11.4
TemperaturaZewnetrzna,1601169985411000000,11.3
TemperaturaZewnetrzna,1601170200350000000,11.3
TemperaturaZewnetrzna,1601170888423000000,11.2
TemperaturaZewnetrzna,1601171100366000000,11.2
TemperaturaZewnetrzna,1601171791429000000,11.1
TemperaturaZewnetrzna,1601172000383000000,11.1
TemperaturaZewnetrzna,1601172694430000000,11
TemperaturaZewnetrzna,1601172900402000000,11
TemperaturaZewnetrzna,1601173597442000000,10.9
TemperaturaZewnetrzna,1601173800424000000,10.9
TemperaturaZewnetrzna,1601174500442000000,10.8
TemperaturaZewnetrzna,1601174700446000000,10.8
TemperaturaZewnetrzna,1601175403457000000,10.6
TemperaturaZewnetrzna,1601175600464000000,10.6
TemperaturaZewnetrzna,1601176306485000000,10.5
TemperaturaZewnetrzna,1601176500476000000,10.5
TemperaturaZewnetrzna,1601177209485000000,10.4
TemperaturaZewnetrzna,1601177400486000000,10.4
TemperaturaZewnetrzna,1601178112486000000,10.2
TemperaturaZewnetrzna,1601178300496000000,10.2
TemperaturaZewnetrzna,1601179015491000000,10.1
TemperaturaZewnetrzna,1601179200505000000,10.1
TemperaturaZewnetrzna,1601180100519000000,10.1
TemperaturaZewnetrzna,1601180822520000000,9.9
TemperaturaZewnetrzna,1601181000535000000,9.9
TemperaturaZewnetrzna,1601181725537000000,10
TemperaturaZewnetrzna,1601181900556000000,10
TemperaturaZewnetrzna,1601182628529000000,9.9
TemperaturaZewnetrzna,1601182800567000000,9.9
TemperaturaZewnetrzna,1601183531539000000,9.8
TemperaturaZewnetrzna,1601183700575000000,9.8
TemperaturaZewnetrzna,1601184434552000000,9.7
TemperaturaZewnetrzna,1601184600593000000,9.7
TemperaturaZewnetrzna,1601185500609000000,9.7
TemperaturaZewnetrzna,1601186240564000000,9.6
TemperaturaZewnetrzna,1601186400618000000,9.6
TemperaturaZewnetrzna,1601187300641000000,9.6
TemperaturaZewnetrzna,1601188046597000000,9.7
TemperaturaZewnetrzna,1601188200651000000,9.7
TemperaturaZewnetrzna,1601188949590000000,9.8
TemperaturaZewnetrzna,1601189100680000000,9.8
TemperaturaZewnetrzna,1601190000695000000,9.8
TemperaturaZewnetrzna,1601190900704000000,9.8
TemperaturaZewnetrzna,1601191658619000000,9.9
TemperaturaZewnetrzna,1601191800715000000,9.9
TemperaturaZewnetrzna,1601192561627000000,9.8
TemperaturaZewnetrzna,1601192700736000000,9.8
TemperaturaZewnetrzna,1601193464631000000,10
TemperaturaZewnetrzna,1601193600746000000,10
TemperaturaZewnetrzna,1601194367656000000,9.9
TemperaturaZewnetrzna,1601194500756000000,9.9
TemperaturaZewnetrzna,1601195270671000000,10
TemperaturaZewnetrzna,1601195400768000000,10
TemperaturaZewnetrzna,1601196173657000000,10.2
TemperaturaZewnetrzna,1601196300778000000,10.2
TemperaturaZewnetrzna,1601197200801000000,10.2
TemperaturaZewnetrzna,1601198100812000000,10.2
TemperaturaZewnetrzna,1601198882686000000,10.3
TemperaturaZewnetrzna,1601199000822000000,10.3
TemperaturaZewnetrzna,1601199785695000000,10.2
TemperaturaZewnetrzna,1601199900836000000,10.2
TemperaturaZewnetrzna,1601200688705000000,10.4
TemperaturaZewnetrzna,1601200800848000000,10.4
TemperaturaZewnetrzna,1601201591734000000,10.2
TemperaturaZewnetrzna,1601201700858000000,10.2
TemperaturaZewnetrzna,1601202494724000000,10.3
TemperaturaZewnetrzna,1601202600867000000,10.3
TemperaturaZewnetrzna,1601203397740000000,10.1
TemperaturaZewnetrzna,1601203500879000000,10.1
TemperaturaZewnetrzna,1601204400888000000,10.1
TemperaturaZewnetrzna,1601205300897000000,10.1
TemperaturaZewnetrzna,1601206106760000000,10.2
TemperaturaZewnetrzna,1601206200909000000,10.2
TemperaturaZewnetrzna,1601207100918000000,10.2
TemperaturaZewnetrzna,1601207912784000000,10.1
TemperaturaZewnetrzna,1601208000929000000,10.1
TemperaturaZewnetrzna,1601208900942000000,10.1
TemperaturaZewnetrzna,1601209800955000000,10.1
TemperaturaZewnetrzna,1601210621842000000,10
TemperaturaZewnetrzna,1601210700963000000,10
TemperaturaZewnetrzna,1601211600983000000,10
TemperaturaZewnetrzna,1601212500017000000,10
TemperaturaZewnetrzna,1601213400025000000,10
TemperaturaZewnetrzna,1601214233843000000,9.6
TemperaturaZewnetrzna,1601214300045000000,9.6
TemperaturaZewnetrzna,1601215136846000000,9.5
TemperaturaZewnetrzna,1601215200060000000,9.5
TemperaturaZewnetrzna,1601216039856000000,9.3
TemperaturaZewnetrzna,1601216100075000000,9.3
TemperaturaZewnetrzna,1601216942877000000,9.2
TemperaturaZewnetrzna,1601217000095000000,9.2
TemperaturaZewnetrzna,1601217900109000000,9.2
TemperaturaZewnetrzna,1601218748909000000,9.1
TemperaturaZewnetrzna,1601218800123000000,9.1
TemperaturaZewnetrzna,1601219651924000000,8.9
TemperaturaZewnetrzna,1601219700139000000,8.9
TemperaturaZewnetrzna,1601220600155000000,8.9
TemperaturaZewnetrzna,1601221457945000000,8.8
TemperaturaZewnetrzna,1601221500178000000,8.8
TemperaturaZewnetrzna,1601222400188000000,8.8
TemperaturaZewnetrzna,1601223263931000000,8.7
TemperaturaZewnetrzna,1601223300202000000,8.7
TemperaturaZewnetrzna,1601224200222000000,8.7
TemperaturaZewnetrzna,1601225069947000000,8.6
TemperaturaZewnetrzna,1601225100237000000,8.6
TemperaturaZewnetrzna,1601225972977000000,8.5
TemperaturaZewnetrzna,1601226000253000000,8.5
TemperaturaZewnetrzna,1601226875987000000,8.4
TemperaturaZewnetrzna,1601226900273000000,8.4
TemperaturaZewnetrzna,1601227779006000000,8.3
TemperaturaZewnetrzna,1601227800291000000,8.3
TemperaturaZewnetrzna,1601228700305000000,8.3
TemperaturaZewnetrzna,1601229600326000000,8.3
TemperaturaZewnetrzna,1601230500342000000,8.3
TemperaturaZewnetrzna,1601231400378000000,8.3
TemperaturaZewnetrzna,1601232300402000000,8.3
TemperaturaZewnetrzna,1601233197028000000,8.4
TemperaturaZewnetrzna,1601233200426000000,8.4
TemperaturaZewnetrzna,1601234100033000000,8.3
TemperaturaZewnetrzna,1601234100434000000,8.3
TemperaturaZewnetrzna,1601235000453000000,8.3
TemperaturaZewnetrzna,1601235003080000000,8.1
TemperaturaZewnetrzna,1601235900469000000,8.1
TemperaturaZewnetrzna,1601236800485000000,8.1
TemperaturaZewnetrzna,1601236809096000000,8.2
TemperaturaZewnetrzna,1601237700521000000,8.2
TemperaturaZewnetrzna,1601238600538000000,8.2
TemperaturaZewnetrzna,1601238615085000000,8.3
TemperaturaZewnetrzna,1601239500553000000,8.3
TemperaturaZewnetrzna,1601239518090000000,8.4
TemperaturaZewnetrzna,1601240400568000000,8.4
TemperaturaZewnetrzna,1601241300586000000,8.4
TemperaturaZewnetrzna,1601241324111000000,8.5
TemperaturaZewnetrzna,1601242200609000000,8.5
TemperaturaZewnetrzna,1601242227117000000,8.6
TemperaturaZewnetrzna,1601243100626000000,8.6
TemperaturaZewnetrzna,1601244000643000000,8.6
TemperaturaZewnetrzna,1601244900665000000,8.6
TemperaturaZewnetrzna,1601245800683000000,8.6
TemperaturaZewnetrzna,1601245839156000000,8.7
TemperaturaZewnetrzna,1601246700691000000,8.7
TemperaturaZewnetrzna,1601247600703000000,8.7
TemperaturaZewnetrzna,1601248500712000000,8.7
TemperaturaZewnetrzna,1601249400720000000,8.7
TemperaturaZewnetrzna,1601250300731000000,8.7
TemperaturaZewnetrzna,1601250354191000000,8.6
TemperaturaZewnetrzna,1601251200746000000,8.6
TemperaturaZewnetrzna,1601251257201000000,8.7
TemperaturaZewnetrzna,1601252100758000000,8.7
TemperaturaZewnetrzna,1601253000767000000,8.7
TemperaturaZewnetrzna,1601253063222000000,8.6
TemperaturaZewnetrzna,1601253900776000000,8.6
TemperaturaZewnetrzna,1601253966224000000,8.5
TemperaturaZewnetrzna,1601254800783000000,8.5
TemperaturaZewnetrzna,1601254869232000000,8.4
TemperaturaZewnetrzna,1601255700792000000,8.4
TemperaturaZewnetrzna,1601255772240000000,8.1
TemperaturaZewnetrzna,1601256600800000000,8.1
TemperaturaZewnetrzna,1601256675255000000,7.8
TemperaturaZewnetrzna,1601257500814000000,7.8
TemperaturaZewnetrzna,1601257578260000000,7.6
TemperaturaZewnetrzna,1601258400822000000,7.6
TemperaturaZewnetrzna,1601258481270000000,7.3
TemperaturaZewnetrzna,1601259300831000000,7.3
TemperaturaZewnetrzna,1601259384277000000,7.1
TemperaturaZewnetrzna,1601260200839000000,7.1
TemperaturaZewnetrzna,1601260287299000000,6.9
TemperaturaZewnetrzna,1601261100847000000,6.9
TemperaturaZewnetrzna,1601261190293000000,6.7
TemperaturaZewnetrzna,1601262000855000000,6.7
TemperaturaZewnetrzna,1601262093307000000,6.4
TemperaturaZewnetrzna,1601262900878000000,6.4
TemperaturaZewnetrzna,1601262996312000000,6.2
TemperaturaZewnetrzna,1601263800897000000,6.2
TemperaturaZewnetrzna,1601263899321000000,6
TemperaturaZewnetrzna,1601264700905000000,6
TemperaturaZewnetrzna,1601264802334000000,5.9
TemperaturaZewnetrzna,1601265600914000000,5.9
TemperaturaZewnetrzna,1601265705338000000,5.7
TemperaturaZewnetrzna,1601266500931000000,5.7
TemperaturaZewnetrzna,1601266608367000000,5.6
TemperaturaZewnetrzna,1601267400948000000,5.6
TemperaturaZewnetrzna,1601267511367000000,5.5
TemperaturaZewnetrzna,1601268300966000000,5.5
TemperaturaZewnetrzna,1601268414358000000,5.4
TemperaturaZewnetrzna,1601269200983000000,5.4
TemperaturaZewnetrzna,1601269317369000000,5.5
