name,time,value
WilgotnoWzglendna,1601154900941000000,84
WilgotnoWzglendna,1601155200948000000,84
WilgotnoWzglendna,1601155500954000000,84
WilgotnoWzglendna,1601155537351000000,85
WilgotnoWzglendna,1601155800977000000,85
WilgotnoWzglendna,1601156100983000000,85
WilgotnoWzglendna,1601156400990000000,85
WilgotnoWzglendna,1601156700995000000,85
WilgotnoWzglendna,1601157001003000000,85
WilgotnoWzglendna,1601157300014000000,85
WilgotnoWzglendna,1601157600028000000,85
WilgotnoWzglendna,1601157900040000000,85
WilgotnoWzglendna,1601158200052000000,85
WilgotnoWzglendna,1601158500065000000,85
WilgotnoWzglendna,1601158800076000000,85
WilgotnoWzglendna,1601159100090000000,85
WilgotnoWzglendna,1601159149410000000,86
WilgotnoWzglendna,1601159400101000000,86
WilgotnoWzglendna,1601159700113000000,86
WilgotnoWzglendna,1601160000125000000,86
WilgotnoWzglendna,1601160300139000000,86
WilgotnoWzglendna,1601160600151000000,86
WilgotnoWzglendna,1601160900173000000,86
WilgotnoWzglendna,1601160955413000000,87
WilgotnoWzglendna,1601161200185000000,87
WilgotnoWzglendna,1601161500198000000,87
WilgotnoWzglendna,1601161800210000000,87
WilgotnoWzglendna,1601162100222000000,87
WilgotnoWzglendna,1601162400234000000,87
WilgotnoWzglendna,1601162700246000000,87
WilgotnoWzglendna,1601163000259000000,87
WilgotnoWzglendna,1601163300271000000,87
WilgotnoWzglendna,1601163600286000000,87
WilgotnoWzglendna,1601163664444000000,86
WilgotnoWzglendna,1601163900297000000,86
WilgotnoWzglendna,1601164567447000000,87
WilgotnoWzglendna,1601164800232000000,87
WilgotnoWzglendna,1601165470462000000,86
WilgotnoWzglendna,1601165700247000000,86
WilgotnoWzglendna,1601166373466000000,87
WilgotnoWzglendna,1601166600265000000,87
WilgotnoWzglendna,1601167500292000000,87
WilgotnoWzglendna,1601168179490000000,88
WilgotnoWzglendna,1601168400308000000,88
WilgotnoWzglendna,1601169300331000000,88
WilgotnoWzglendna,1601169985508000000,89
WilgotnoWzglendna,1601170200350000000,89
WilgotnoWzglendna,1601171100366000000,89
WilgotnoWzglendna,1601171791522000000,90
WilgotnoWzglendna,1601172000383000000,90
WilgotnoWzglendna,1601172900402000000,90
WilgotnoWzglendna,1601173800425000000,90
WilgotnoWzglendna,1601174500539000000,91
WilgotnoWzglendna,1601174700447000000,91
WilgotnoWzglendna,1601175403551000000,90
WilgotnoWzglendna,1601175600464000000,90
WilgotnoWzglendna,1601176500477000000,90
WilgotnoWzglendna,1601177209566000000,91
WilgotnoWzglendna,1601177400486000000,91
WilgotnoWzglendna,1601178300496000000,91
WilgotnoWzglendna,1601179200505000000,91
WilgotnoWzglendna,1601180100520000000,91
WilgotnoWzglendna,1601181000535000000,91
WilgotnoWzglendna,1601181725615000000,92
WilgotnoWzglendna,1601181900557000000,92
WilgotnoWzglendna,1601182800567000000,92
WilgotnoWzglendna,1601183700575000000,92
WilgotnoWzglendna,1601184600593000000,92
WilgotnoWzglendna,1601185500609000000,92
WilgotnoWzglendna,1601186400619000000,92
WilgotnoWzglendna,1601187300642000000,92
WilgotnoWzglendna,1601188200651000000,92
WilgotnoWzglendna,1601189100680000000,92
WilgotnoWzglendna,1601190000696000000,92
WilgotnoWzglendna,1601190900705000000,92
WilgotnoWzglendna,1601191800715000000,92
WilgotnoWzglendna,1601192700736000000,92
WilgotnoWzglendna,1601193600746000000,92
WilgotnoWzglendna,1601194500756000000,92
WilgotnoWzglendna,1601195400768000000,92
WilgotnoWzglendna,1601196173753000000,91
WilgotnoWzglendna,1601196300778000000,91
WilgotnoWzglendna,1601197200802000000,91
WilgotnoWzglendna,1601198100812000000,91
WilgotnoWzglendna,1601199000822000000,91
WilgotnoWzglendna,1601199900836000000,91
WilgotnoWzglendna,1601200800849000000,91
WilgotnoWzglendna,1601201700858000000,91
WilgotnoWzglendna,1601202600867000000,91
WilgotnoWzglendna,1601203500879000000,91
WilgotnoWzglendna,1601204400888000000,91
WilgotnoWzglendna,1601205203849000000,92
WilgotnoWzglendna,1601205300898000000,92
WilgotnoWzglendna,1601206200909000000,92
WilgotnoWzglendna,1601207100918000000,92
WilgotnoWzglendna,1601208000929000000,92
WilgotnoWzglendna,1601208900942000000,92
WilgotnoWzglendna,1601209800955000000,92
WilgotnoWzglendna,1601210700964000000,92
WilgotnoWzglendna,1601211600984000000,92
WilgotnoWzglendna,1601212500017000000,92
WilgotnoWzglendna,1601213400026000000,92
WilgotnoWzglendna,1601214300045000000,92
WilgotnoWzglendna,1601215200060000000,92
WilgotnoWzglendna,1601216100076000000,92
WilgotnoWzglendna,1601217000095000000,92
WilgotnoWzglendna,1601217900110000000,92
WilgotnoWzglendna,1601218800123000000,92
WilgotnoWzglendna,1601219700139000000,92
WilgotnoWzglendna,1601220600156000000,92
WilgotnoWzglendna,1601221500179000000,92
WilgotnoWzglendna,1601222400188000000,92
WilgotnoWzglendna,1601223300203000000,92
WilgotnoWzglendna,1601224167028000000,93
WilgotnoWzglendna,1601224200222000000,93
WilgotnoWzglendna,1601225100237000000,93
WilgotnoWzglendna,1601226000253000000,93
WilgotnoWzglendna,1601226900274000000,93
WilgotnoWzglendna,1601227800291000000,93
WilgotnoWzglendna,1601228700306000000,93
WilgotnoWzglendna,1601229600326000000,93
WilgotnoWzglendna,1601230500343000000,93
WilgotnoWzglendna,1601231400378000000,93
WilgotnoWzglendna,1601232294106000000,94
WilgotnoWzglendna,1601232300403000000,94
WilgotnoWzglendna,1601233200426000000,94
WilgotnoWzglendna,1601234100434000000,94
WilgotnoWzglendna,1601235000453000000,94
WilgotnoWzglendna,1601235900469000000,94
WilgotnoWzglendna,1601235906164000000,93
WilgotnoWzglendna,1601236800485000000,93
WilgotnoWzglendna,1601237700521000000,93
WilgotnoWzglendna,1601237712170000000,94
WilgotnoWzglendna,1601238600539000000,94
WilgotnoWzglendna,1601239500553000000,94
WilgotnoWzglendna,1601240400568000000,94
WilgotnoWzglendna,1601241300586000000,94
WilgotnoWzglendna,1601242200609000000,94
WilgotnoWzglendna,1601243100626000000,94
WilgotnoWzglendna,1601244000643000000,94
WilgotnoWzglendna,1601244900665000000,94
WilgotnoWzglendna,1601245800684000000,94
WilgotnoWzglendna,1601246700691000000,94
WilgotnoWzglendna,1601247600704000000,94
WilgotnoWzglendna,1601248500712000000,94
WilgotnoWzglendna,1601249400720000000,94
WilgotnoWzglendna,1601250300731000000,94
WilgotnoWzglendna,1601251200747000000,94
WilgotnoWzglendna,1601252100758000000,94
WilgotnoWzglendna,1601253000768000000,94
WilgotnoWzglendna,1601253900776000000,94
WilgotnoWzglendna,1601254800783000000,94
WilgotnoWzglendna,1601255700792000000,94
WilgotnoWzglendna,1601256600800000000,94
WilgotnoWzglendna,1601257500815000000,94
WilgotnoWzglendna,1601258400822000000,94
WilgotnoWzglendna,1601259300831000000,94
WilgotnoWzglendna,1601260200839000000,94
